player_name,rookie_start_season,window_years,age_mean,games_sum,games_started_sum,minutes_sum,points_sum,assists_sum,rebounds_sum,steals_sum,blocks_sum,turnovers_sum,points_per36,assists_per36,rebounds_per36,steals_per36,blocks_per36,turnovers_per36,true_shooting_pct,usage_pct,three_point_pct,defensive_win_shares_cum,offensive_win_shares_cum,win_shares_cum,per_mean,ast_to_ratio,availability_mean,position_mode,minutes_trend,points_trend,minutes_cv,games_cv,secondary_label,primary_label
Max Christie,2022,3,20.0,186.0,46.0,53.900000000000006,16.9,3.3,7.2,1.3,0.9,1.9000000000000001,11.287569573283855,2.204081632653061,4.808905380333952,0.8682745825602968,0.601113172541744,1.269016697588126,0.5599999999999999,0.13066666666666668,0.38033333333333336,2.9000000000000004,1.1,4.0,8.733333333333334,1.7368421052631577,0.7560975609756097,SG,7.3999999999999995,3.25,0.36912297188707643,0.25021669415527087,3D角色球员,
Maxwell Lewis,2023,1,21.0,34.0,0.0,3.0,0.3,0.2,0.1,0.1,0.0,0.3,3.5999999999999996,2.4,1.2,1.2,0.0,3.5999999999999996,0.246,0.136,0.111,0.0,-0.5,-0.4,-3.9,0.6666666666666667,0.4146341463414634,SF,,,,,潜力待定型,
Maxwell Lewis,2023,2,21.5,62.0,1.0,14.7,4.3999999999999995,0.8999999999999999,2.1,0.4,0.3,0.8,10.775510204081632,2.204081632653061,5.142857142857143,0.979591836734694,0.7346938775510204,1.959183673469388,0.381,0.1525,0.2455,0.3,-0.6,-0.2,3.0,1.1249999999999998,0.3780487804878049,SF,8.699999999999994,3.799999999999998,0.5918367346938775,0.0967741935483871,潜力待定型,
Michael Foster Jr.,2022,1,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.012195121951219513,PF,,,,,潜力待定型,
Miles Norris,2024,1,24.0,3.0,0.0,11.7,2.3,0.0,3.0,0.7,0.3,0.0,7.076923076923077,0.0,9.230769230769232,2.1538461538461537,0.923076923076923,0.0,0.354,0.124,0.286,0.1,0.0,0.0,8.5,,0.036585365853658534,PF,,,,,潜力待定型,
Mouhamadou Gueye,2023,1,25.0,11.0,0.0,10.9,2.4,0.5,2.1,0.3,1.6,1.1,7.9266055045871555,1.6513761467889907,6.935779816513762,0.9908256880733944,5.284403669724771,3.6330275229357802,0.31,0.192,0.0,0.2,-0.5,-0.4,4.6,0.45454545454545453,0.13414634146341464,PF,,,,,潜力待定型,
Mouhamed Gueye,2023,1,21.0,6.0,0.0,12.2,4.0,0.7,3.7,0.8,0.7,0.2,11.80327868852459,2.0655737704918034,10.918032786885249,2.360655737704918,2.0655737704918034,0.5901639344262295,0.468,0.152,0.333,0.1,0.1,0.2,15.0,3.4999999999999996,0.07317073170731707,PF,,,,,内线护框型,
Mouhamed Gueye,2023,2,21.5,39.0,28.0,28.4,10.0,1.5,7.9,1.6,1.7,0.7,12.67605633802817,1.9014084507042255,10.014084507042254,2.0281690140845074,2.154929577464789,0.8873239436619718,0.494,0.1545,0.29600000000000004,0.9,0.5,1.4,14.7,2.142857142857143,0.2378048780487805,PF,3.999999999999998,1.999999999999999,0.14084507042253522,0.6923076923076923,内线护框型,
Moussa Diabaté,2022,1,21.0,22.0,1.0,8.9,2.7,0.2,2.3,0.3,0.4,0.4,10.921348314606742,0.8089887640449438,9.303370786516853,1.2134831460674156,1.6179775280898876,1.6179775280898876,0.546,0.141,0.5,0.2,0.2,0.4,14.2,0.5,0.2682926829268293,C,,,,,潜力待定型,
Moussa Diabaté,2022,2,21.5,33.0,1.0,14.7,5.300000000000001,0.6000000000000001,4.5,0.8,0.5,0.6000000000000001,12.979591836734697,1.4693877551020411,11.020408163265307,1.959183673469388,1.2244897959183674,1.4693877551020411,0.5609999999999999,0.1635,0.5,0.30000000000000004,0.4,0.7,19.45,1.0,0.20121951219512196,C,-3.0999999999999996,-0.10000000000000034,0.21088435374149664,0.3333333333333333,空间内线,
Moussa Diabaté,2022,3,22.0,104.0,9.0,32.2,11.0,1.4000000000000001,10.7,1.4,1.1,1.5,12.298136645962732,1.5652173913043477,11.962732919254657,1.5652173913043474,1.2298136645962734,1.6770186335403725,0.577,0.15366666666666667,0.25,1.8,2.2,3.9000000000000004,18.466666666666665,0.9333333333333335,0.42276422764227645,C,4.3,1.4999999999999998,0.4611147662661494,0.7523385631545597,伤病风险型,
Mãozinha Pereira,2023,1,23.0,7.0,1.0,17.4,6.9,0.3,5.3,0.9,0.6,0.7,14.27586206896552,0.6206896551724138,10.965517241379311,1.8620689655172415,1.2413793103448276,1.4482758620689655,0.609,0.156,0.385,0.2,0.1,0.3,15.7,0.4285714285714286,0.08536585365853659,SF,,,,,空间内线,
N'Faly Dante,2024,1,23.0,4.0,0.0,12.8,6.0,0.5,5.3,0.3,1.3,0.5,16.875,1.40625,14.906249999999998,0.8437499999999999,3.65625,1.40625,0.789,0.139,,0.1,0.2,0.3,24.0,1.0,0.04878048780487805,C,,,,,潜力待定型,
Nae'Qwan Tomlin,2024,1,24.0,5.0,1.0,12.6,7.2,0.4,4.2,0.0,0.2,0.4,20.571428571428573,1.142857142857143,12.000000000000002,0.0,0.5714285714285715,1.142857142857143,0.489,0.261,0.2,0.1,0.1,0.1,14.4,1.0,0.06097560975609756,PF,,,,,低效得分手,
Nate Williams,2022,1,23.0,5.0,4.0,25.4,10.6,2.0,3.0,0.6,0.4,0.8,15.023622047244096,2.8346456692913384,4.251968503937008,0.8503937007874016,0.5669291338582678,1.1338582677165356,0.657,0.152,0.375,0.0,0.3,0.3,15.5,2.5,0.06097560975609756,SG,,,,,潜力待定型,
Nate Williams,2022,2,23.5,27.0,4.0,31.299999999999997,13.5,2.3,4.0,0.8,0.4,1.0,15.527156549520768,2.645367412140575,4.600638977635784,0.9201277955271566,0.4600638977635783,1.150159744408946,0.611,0.1745,0.3875,0.1,0.5,0.6,15.55,2.3,0.16463414634146342,SG,-19.499999999999993,-7.699999999999997,0.623003194888179,0.6296296296296297,潜力待定型,
Nate Williams,2022,3,24.0,47.0,4.0,38.699999999999996,16.8,2.8,4.7,1.2000000000000002,0.6000000000000001,1.7,15.627906976744187,2.604651162790698,4.372093023255815,1.116279069767442,0.558139534883721,1.5813953488372094,0.5726666666666667,0.19066666666666665,0.3353333333333333,0.30000000000000004,0.3,0.6,13.233333333333334,1.6470588235294117,0.1910569105691057,SG,-9.000000000000004,-3.650000000000001,0.6868234552972616,0.4842470926272784,伤病风险型,
Nathan Mensah,2023,1,25.0,25.0,0.0,12.3,1.3,0.4,2.6,0.2,0.6,0.6,3.8048780487804876,1.170731707317073,7.609756097560975,0.5853658536585366,1.7560975609756095,1.7560975609756095,0.496,0.068,,0.2,0.0,0.1,5.0,0.6666666666666667,0.3048780487804878,C,,,,,潜力待定型,
Nick Smith Jr.,2023,1,19.0,51.0,0.0,14.3,5.9,1.2,1.4,0.2,0.1,0.8,14.853146853146853,3.020979020979021,3.524475524475524,0.5034965034965035,0.2517482517482518,2.013986013986014,0.511,0.203,0.432,0.1,-0.6,-0.5,8.1,1.4999999999999998,0.6219512195121951,SG,,,,,潜力待定型,
Nick Smith Jr.,2023,2,19.5,111.0,27.0,37.1,15.8,3.5999999999999996,3.5,0.5,0.2,2.2,15.331536388140162,3.493261455525606,3.3962264150943393,0.4851752021563342,0.1940700808625337,2.1347708894878705,0.5065,0.20550000000000002,0.386,0.4,-1.5,-1.0,8.2,1.636363636363636,0.6768292682926829,SG,8.499999999999998,3.9999999999999982,0.22911051212938005,0.08108108108108109,潜力待定型,
Nikola Jović,2022,1,19.0,15.0,8.0,13.6,5.5,0.7,2.1,0.5,0.1,0.7,14.558823529411764,1.852941176470588,5.5588235294117645,1.3235294117647058,0.2647058823529412,1.852941176470588,0.53,0.19,0.229,0.2,0.0,0.2,10.6,1.0,0.18292682926829268,PF,,,,,潜力待定型,
Nikola Jović,2022,2,19.5,61.0,46.0,33.1,13.2,2.7,6.300000000000001,1.0,0.4,1.6,14.356495468277943,2.9365558912386707,6.851963746223566,1.0876132930513593,0.4350453172205438,1.7401812688821752,0.5565,0.1805,0.314,1.5,0.6,2.1,11.7,1.6875,0.3719512195121951,PF,5.899999999999996,2.199999999999999,0.17824773413897282,0.5081967213114754,潜力待定型,
Nikola Jović,2022,3,20.0,107.0,56.0,58.2,23.9,5.5,10.200000000000001,1.8,0.7,2.9000000000000004,14.783505154639172,3.402061855670103,6.309278350515465,1.11340206185567,0.43298969072164945,1.7938144329896908,0.5693333333333334,0.18133333333333335,0.333,2.8,1.7999999999999998,4.6,12.4,1.8965517241379308,0.43495934959349597,PF,5.7499999999999964,2.5999999999999988,0.2420302993767865,0.4097254246127659,潜力待定型,
Noah Clowney,2023,1,19.0,23.0,4.0,16.1,5.8,0.8,3.5,0.3,0.7,0.7,12.96894409937888,1.7888198757763973,7.826086956521739,0.670807453416149,1.5652173913043474,1.5652173913043474,0.626,0.142,0.364,0.4,0.5,0.9,14.2,1.142857142857143,0.2804878048780488,PF,,,,,空间内线,
Noah Clowney,2023,2,19.5,69.0,24.0,38.8,14.899999999999999,1.7000000000000002,7.4,0.8,1.2,1.7,13.824742268041236,1.5773195876288664,6.8659793814432994,0.7422680412371135,1.1134020618556701,1.5773195876288661,0.571,0.16599999999999998,0.34850000000000003,1.2000000000000002,0.2,1.4,11.7,1.0000000000000002,0.4207317073170732,PF,6.599999999999996,3.299999999999998,0.1701030927835051,0.3333333333333333,潜力待定型,
Ochai Agbaji,2022,1,22.0,59.0,22.0,20.5,7.9,1.1,2.1,0.3,0.3,0.7,13.873170731707317,1.931707317073171,3.6878048780487807,0.526829268292683,0.526829268292683,1.2292682926829266,0.561,0.158,0.355,0.4,0.9,1.3,9.5,1.5714285714285716,0.7195121951219512,SG,,,,,潜力待定型,
Ochai Agbaji,2022,2,22.5,137.0,50.0,41.5,13.7,2.2,4.9,0.8999999999999999,0.8999999999999999,1.5,11.88433734939759,1.9084337349397593,4.250602409638555,0.780722891566265,0.780722891566265,1.3012048192771084,0.529,0.14600000000000002,0.3245,1.0,0.4,1.4000000000000001,8.6,1.4666666666666668,0.8353658536585366,SG,0.4999999999999995,-2.1,0.012048192771084338,0.1386861313868613,潜力待定型,
Ochai Agbaji,2022,3,23.0,201.0,95.0,68.7,24.1,3.7,8.7,1.7999999999999998,1.4,2.3,12.628820960698691,1.9388646288209608,4.558951965065502,0.9432314410480348,0.7336244541484715,1.205240174672489,0.553,0.14600000000000002,0.34933333333333333,2.5,2.0,4.5,9.733333333333333,1.6086956521739133,0.8170731707317073,SG,3.3499999999999956,1.2499999999999993,0.13307437843539324,0.12002326449566984,潜力待定型,
Olivier-Maxence Prosper,2023,1,21.0,40.0,1.0,8.4,3.0,0.6,2.0,0.2,0.1,0.2,12.857142857142858,2.571428571428571,8.571428571428571,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.496,0.166,0.289,0.3,0.2,0.5,11.6,2.9999999999999996,0.4878048780487805,PF,,,,,潜力待定型,
