player_name,rookie_start_season,window_years,age_mean,games_sum,games_started_sum,minutes_sum,points_sum,assists_sum,rebounds_sum,steals_sum,blocks_sum,turnovers_sum,points_per36,assists_per36,rebounds_per36,steals_per36,blocks_per36,turnovers_per36,true_shooting_pct,usage_pct,three_point_pct,defensive_win_shares_cum,offensive_win_shares_cum,win_shares_cum,per_mean,ast_to_ratio,availability_mean,position_mode,minutes_trend,points_trend,minutes_cv,games_cv,primary_label,secondary_label
Corie Blount,1996,3,29.0,162.0,24.0,47.699999999999996,10.700000000000001,1.5,13.5,1.4,1.3,2.2,8.07547169811321,1.1320754716981132,10.188679245283021,1.0566037735849056,0.9811320754716982,1.6603773584905663,0.5116666666666667,0.12166666666666666,0.111,3.5,2.1999999999999997,5.8,11.1,0.6818181818181818,0.6585365853658537,PF,-0.9000000000000045,-0.6500000000000009,0.07059730918441398,0.2771598064276994,生涯波动型,潜力待定型
Corliss Williamson,1996,1,23.0,79.0,31.0,25.2,11.6,1.6,4.1,0.8,0.6,2.0,16.57142857142857,2.285714285714286,5.857142857142856,1.142857142857143,0.8571428571428571,2.8571428571428568,0.535,0.228,0.0,1.5,1.2,2.7,14.3,0.8,0.9634146341463414,SF,,,,,长青稳定型,潜力待定型
Corliss Williamson,1996,2,23.5,158.0,106.0,60.900000000000006,29.299999999999997,4.5,9.7,1.8,1.2,4.5,17.32019704433497,2.6600985221674875,5.73399014778325,1.064039408866995,0.70935960591133,2.6600985221674875,0.531,0.23450000000000001,0.0,3.3,3.8,7.1000000000000005,15.15,1.0,0.9634146341463414,SF,10.5,6.099999999999997,0.17241379310344832,0.0,长青稳定型,潜力待定型
Corliss Williamson,1996,3,24.0,208.0,156.0,88.4,42.5,5.8,13.799999999999999,2.4,1.4,6.0,17.307692307692307,2.361990950226244,5.619909502262442,0.9773755656108596,0.5701357466063348,2.443438914027149,0.5263333333333334,0.23,0.06666666666666667,3.9,5.699999999999999,9.600000000000001,15.0,0.9666666666666667,0.8455284552845529,SF,1.1499999999999981,0.799999999999998,0.1529368255559331,0.1971740062924027,长青稳定型,潜力待定型
Cory Alexander,1996,1,23.0,80.0,6.0,18.2,7.2,3.2,1.5,1.0,0.2,1.8,14.241758241758243,6.32967032967033,2.967032967032967,1.978021978021978,0.39560439560439564,3.5604395604395607,0.528,0.222,0.373,0.6,0.5,1.1,14.3,1.777777777777778,0.975609756097561,PG,,,,,生涯波动型,潜力待定型
Cory Alexander,1996,2,23.5,140.0,28.0,39.8,15.3,6.7,3.9,2.2,0.4,3.7,13.8391959798995,6.060301507537689,3.5276381909547743,1.989949748743719,0.3618090452261307,3.346733668341709,0.538,0.21000000000000002,0.374,1.7999999999999998,1.5,3.3000000000000003,14.75,1.8108108108108107,0.8536585365853658,PG,3.4000000000000004,0.8999999999999996,0.08542713567839201,0.14285714285714285,生涯波动型,3D角色球员
Cory Alexander,1996,3,24.0,176.0,32.0,61.4,22.6,10.0,6.0,3.2,0.5,5.6,13.25081433224756,5.863192182410424,3.5179153094462543,1.8762214983713357,0.2931596091205212,3.2833876221498373,0.5143333333333334,0.20766666666666667,0.3446666666666667,1.7999999999999998,1.3,3.0000000000000004,13.5,1.7857142857142858,0.7154471544715447,PG,1.699999999999998,0.04999999999999857,0.0783115001965558,0.30660767189163735,生涯波动型,潜力待定型
Cory Joseph,2011,1,20.0,29.0,1.0,9.2,2.0,1.2,0.9,0.2,0.1,0.4,7.82608695652174,4.695652173913043,3.5217391304347827,0.7826086956521741,0.39130434782608703,1.5652173913043481,0.374,0.154,0.2,0.2,-0.2,0.0,6.9,2.9999999999999996,0.35365853658536583,PG,,,,,生涯波动型,潜力待定型
Cory Joseph,2011,2,20.5,57.0,10.0,23.1,6.5,3.0999999999999996,2.8,0.7,0.2,1.2000000000000002,10.12987012987013,4.831168831168831,4.363636363636363,1.0909090909090908,0.3116883116883117,1.8701298701298703,0.451,0.16,0.243,0.7,0.2,0.9,10.2,2.5833333333333326,0.3475609756097561,PG,4.6999999999999975,2.4999999999999987,0.20346320346320348,0.017543859649122806,生涯波动型,潜力待定型
Cory Joseph,2011,3,21.0,125.0,29.0,36.900000000000006,11.5,4.8,4.4,1.2,0.4,1.8000000000000003,11.21951219512195,4.682926829268292,4.2926829268292686,1.170731707317073,0.39024390243902435,1.7560975609756098,0.48666666666666664,0.163,0.26733333333333337,2.0,1.8,3.8,11.699999999999998,2.666666666666666,0.508130081300813,PG,2.299999999999999,1.4999999999999998,0.1782448092401664,0.44699888143036776,生涯波动型,潜力待挖掘
Courtney Lee,2008,1,23.0,77.0,42.0,25.2,8.4,1.2,2.3,1.0,0.2,0.9,12.000000000000002,1.7142857142857142,3.2857142857142856,1.4285714285714284,0.28571428571428575,1.2857142857142858,,,0.404,0.0,0.0,0.0,,1.3333333333333333,0.9390243902439024,SG,,,,,生涯波动型,潜力待定型
Courtney Lee,2008,2,23.5,148.0,108.0,58.7,20.9,2.9,5.8,2.3,0.5,2.0,12.817717206132876,1.7785349233390118,3.5570698466780235,1.4105621805792161,0.30664395229982966,1.2265758091993186,0.525,0.177,0.371,1.3,1.8,3.1,12.8,1.45,0.9024390243902438,SG,8.299999999999994,4.099999999999996,0.141396933560477,0.04054054054054054,生涯波动型,潜力待定型
